oid,aid,title,subContent,thumbnail,dateTime,content
079,0003810027,"韓 테니스 수장, 결국 공식 사퇴…60일 이내 새 회장 선거",제28대 대한테니스협회 정희균 회장이 결국 공식 사퇴했다. 대한테니스협회 자료사진&#8203;한국 테니스를 이끄는 수장이 결국 중도 사퇴했다. 협회의 거액의 부채 문제를 해결하지 못한 데다 배임 의혹까지 받는 상황에 임기를 채우지 못하게 됐다.대한테니스협회는 6일 오후 서울시 송파구 올림픽공원 테니스경기장 2층 회의실에서...,https://imgnews.pstatic.net/image/thumb154/079/2023/09/06/3810027.jpg,2023-09-06T22:41:01,"제28대 대한테니스협회 정희균 회장이 결국 공식 사퇴했다. 대한테니스협회 자료사진​한국 테니스를 이끄는 수장이 결국 중도 사퇴했다. 협회의 거액의 부채 문제를 해결하지 못한 데다 배임 의혹까지 받는 상황에 임기를 채우지 못하게 됐다.대한테니스협회는 6일 오후 서울시 송파구 올림픽공원 테니스경기장 2층 회의실에서 2023년도 제5차 이사회를 열었다. 제28대 정희균 회장은 이 자리에서 공식 사퇴했다. 정 회장은 ""협회가 풍전등화의 상황이고 모든 책임을 내가 지겠다고 말씀드렸다""면서 ""고심 끝에 사임을 하기로 마음을 굳혔고 이사진께 말씀드리는 것이 도리라 나왔다""고 밝혔다. 이어 ""협회가 정상화하기 위해서는 내가 사임을 하는 것이 가장 첫 번째 수순이라고 판단해 결단을 내렸다""고 설명했다.이날 정 회장이 사임서를 제출함에 따라 예종석 부회장이 회장 직무대행으로 선임됐다. 회장이 궐위된 경우 부회장 중 연장자 순으로 직무를 대행한다는 정관 제21조 4항에 의거해서다.정 회장은 2021년 1월 제28대 협회장으로 선출됐으나 4년 임기를 채우지 못했다. 협회는 회장의 남은 임기가 1년 이상일 경우 새 회장을 선출해야 한다는 규정에 의거해 60일 이내 선거를 치를 예정이다.일단 미디어월에 대한 부채 문제를 해결하지 못한 게 컸다. 협회는 전임 집행부 시절 경기도 구리시 육군사관학교 코트 리모델링과 관련해 미디어윌과 소송에서 패소해 생긴 60억 원 이상의 부채를 생겨 초유의 압류 사태를 겪었다. 정 회장은 지난해 30억 원의 빚을 탕감하는 대신 나머지를 갚고, 육사 코트 운영권을 미디어윌에게 주는 양해각서를 체결했지만 이행하지 못했다. 결국 미디어월이 다시 압류를 걸면서 협회 행정이 마비됐다.여기에 정 회장은 취임 당시 만든 한국주니어테니스육성후원회를 통해 협회 명의로 맺은 다수 계약의 후원금과 국제대회의 광고 수익 일부를 받아 사적으로 쓰는 배임에 대한 의혹이 제기됐다. 승강제 리그 공인구를 부풀려 계약했다는 의혹도 일었다. 이에 정 회장은 ""협회의 압류로 인해 불가피한 상황에 처해 있었기에 의도치 않은 일들이 발생했을 수 있다""면서도 ""협회 정상화를 위해 최선을 다했고 불법적인 일은 없었다고 생각한다""고 해명했다.논란이 가라앉지 않자 정 회장은 지난달 30일 협회 이사회 직후 직원 급여 지급, 자신의 배임 의혹에 대한 스포츠윤리센터 조사 등 문제가 해결되면 사임하겠다는 뜻을 밝혔다. 그러나 조사 결과가 나오기 전 정 회장은 결국 자리에서 물러났다.예종석 회장 직무대행은 ""문제를 해결하기 위해 최선의 노력을 다하겠다""면서 ""내일부터 협회에 출근해 상황을 파악하고 해결책을 찾아본 후 가능한 한 빠른 시일 내에 다음 이사회를 소집하겠다""고 말했다. 정 회장의 임기는 2025년까지였다."
421,0007033927,"아시아탁구선수권, 남자 단체전 동메달 목에 건 선수들",(서울=뉴스1) 유승관 기자 = 한국 남자탁구 선수들이 6일 강원 평창돔에서 열린 2023 제26회 ITTF-ATTU 평창아시아탁구선수권대회 남자단체전 시상식 후 동메달을 목에 걸고 기념 촬영을 하고 있다. (2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.9.6/뉴스1,https://imgnews.pstatic.net/image/thumb154/421/2023/09/06/7033927.jpg,2023-09-06T22:38:29,(서울=뉴스1) 유승관 기자 = 한국 남자탁구 선수들이 6일 강원 평창돔에서 열린 2023 제26회 ITTF-ATTU 평창아시아탁구선수권대회 남자단체전 시상식 후 동메달을 목에 걸고 기념 촬영을 하고 있다. (2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.9.6/뉴스1
001,0014176470,"중국탁구, 평창 아시아선수권 남녀 단체전 석권","남자 단체 결승서 대만에 3-0 완승…4년 만에 왕좌 복귀탁구 넘버원 중국[평창아시아탁구선수권대회 조직위원회 제공. 재판매 및 DB 금지](서울=연합뉴스) 안홍석 기자 = '최강' 중국 탁구가 2023 평창 아시아탁구선수권대회에서 남녀 단체전 금메달을 모두 가져갔다. 세계 1위 판전둥, 3위 마룽, 6위 량징쿤으로 팀을...",https://imgnews.pstatic.net/image/thumb154/001/2023/09/06/14176470.jpg,2023-09-06T22:38:07,"남자 단체 결승서 대만에 3-0 완승…4년 만에 왕좌 복귀탁구 넘버원 중국[평창아시아탁구선수권대회 조직위원회 제공. 재판매 및 DB 금지](서울=연합뉴스) 안홍석 기자 = '최강' 중국 탁구가 2023 평창 아시아탁구선수권대회에서 남녀 단체전 금메달을 모두 가져갔다.    세계 1위 판전둥, 3위 마룽, 6위 량징쿤으로 팀을 꾸린 중국은 6일 강원 평창돔에서 열린 대회 나흘째 남자 단체전 결승에서 7위 린윈루, 26위 좡즈위안, 33위 가오정루이로 전열을 채운 대만에 3-0 완승을 거뒀다.    이로써 중국은 전날 여자에 이어 이날 남자 단체전에서도 챔피언 타이틀을 거머쥐었다.    준결승전에서 중국에 진 한국과 대만에 진 인도가 동메달을 가져갔다.    2021년 도하 대회에 신종 코로나바이러스 감염증(코로나19) 방역 문제로 출전하지 못했던 중국은 4년 만에 보란듯이 남녀 왕좌에 복귀했다.     아시아선수권이 이번까지 26회째 대회를 이어오는 동안 중국이 남자 단체전에서 우승하지 못한 것은 딱 3차례 뿐이다.    일본이 초대 챔피언에 오른 이후 제2회 대회부터 중국이 11연패를 이뤄냈다. 이어 1996년 대회에서 한국에 왕좌를 내줬고, 이후 11연패를 이어가다가 출전하지 못한 도하 대회에서 한국이 다시 금메달을 가져갔다.    단체전 일정을 마친 아시아선수권은 7일부터 남녀 단·복식과 혼합복식 등 개인전으로 '2라운드'를 이어간다.     ahs@yna.co.kr"
396,0000654515,"거침없는 중국 탁구, 남자 단체전까지 접수",정상 탈환이다. 중국이 남자 단체전까지 접수했다. 6일 평창돔경기장에서 열린 대만과의 ‘제26회 평창아시아탁구선수권대회’ 결승전서 3-0으로 승리했다. 치열한 접전이 펼쳐졌다. 대만의 1신예 카오쳉쥐(세계 33위)가 첫 매치부터 왕추친(2위)을 물고 늘어지며 풀-게임접전을 펼쳤다. 2매치에서도 대만 에이스 린윤주(세계7위...,https://imgnews.pstatic.net/image/thumb154/396/2023/09/06/654515.jpg,2023-09-06T22:27:03,"정상 탈환이다.   중국이 남자 단체전까지 접수했다. 6일 평창돔경기장에서 열린 대만과의 ‘제26회 평창아시아탁구선수권대회’ 결승전서 3-0으로 승리했다.   치열한 접전이 펼쳐졌다. 대만의 1신예 카오쳉쥐(세계 33위)가 첫 매치부터 왕추친(2위)을 물고 늘어지며 풀-게임접전을 펼쳤다. 2매치에서도 대만 에이스 린윤주(세계7위)가 판젠동(세계1위)과의 에이스 매치를 마지막 5게임까지 몰고 갔다. 결국은 판젠동이 이겼지만 린윤주가 마지막 게임 매치 포인트를 먼저 잡았을 만큼 중국으로서는 벼랑 끝까지 몰린 승부였다. 기세를 탄 중국은 3번 매치 승부처에서 마롱(3위) 대신 리앙징쿤(6위)을 내세워 승부를 매조지었다.     이로써 남자단체전 우승 트로피는 또 한 번 중국의 품으로 돌아갔다. 통산 23번째. 중국 남자탁구는 아시아선수권대회에서 무소불휘의 위력을 과시해왔다. 26회가 이어지는 동안 중국이 우승 못한 대회는 딱 세 번뿐이다. 일본이 초대 챔피언에 오른 이후 2회 대회부터 중국의 11연패가 이어졌다. 1996년 한국에 우승컵을 내준 이후 다음 대회부터 다시 11회 연속 우승을 이어갔다. 지난 2021년 대회를 불참하면서 다시 연속 우승을 멈췄는데 당시 한국이 정상에 올랐다. 아시아선수권 무대로 돌아온 중국은 4강전에서 직전 우승팀 한국을 꺾은 바 있다.   선수들의 표정이 밝다. 우승팀 중국은 물론이고, 기대 이상으로 잘 싸운 대만의 은메달도 빛났다. 가파른 성장을 과시하며 3위 시상대에 오른 인도 선수들도 가치 있는 동메달을 자축했다. 한국 대표선수들도 개인전을 위한 비장한 목표를 환한 웃음 뒤로 숨겼다.   평창=이혜진 기자 hjlee@sportsworldi.com"
003,0012074471,한국 남자탁구 단체전 동메달,[서울=뉴시스] 고승민 기자 = 2023 ITTF-ATTU 제26회 평창아시아탁구선수권대회 남자단체전 4강전에서 중국과 맞닥뜨린 대한민국이 동메달을 거머쥐었다. (사진=2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.09.06. photo@newsis.com *재판매 및 DB 금지[사진 영상 제보받습니다] 공감...,https://imgnews.pstatic.net/image/thumb154/003/2023/09/06/12074471.jpg,2023-09-06T22:25:18,[서울=뉴시스] 고승민 기자 = 2023 ITTF-ATTU 제26회 평창아시아탁구선수권대회 남자단체전 4강전에서 중국과 맞닥뜨린 대한민국이 동메달을 거머쥐었다. (사진=2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.09.06. photo@newsis.com *재판매 및 DB 금지[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.
025,0003306057,'배임 의혹' 정희균 테니스협회장 사임,지난달 30일 서울 송파구 올림픽공원 테니스경기장 회의실에서 2023년도 제4차 대한테니스협회 이사회가 열리고 있다. 사진 대한테니스협회 배임 의혹을 받던 정희균 대한테니스협회 회장이 사임했다. 대한테니스협회는 정 회장이 6일 오후 서울 송파구 올림픽공원 테니스경기장 회의실에서 진행된 테니스협회 2023년도 제5차 이사회...,https://imgnews.pstatic.net/image/thumb154/025/2023/09/06/3306057.jpg,2023-09-06T21:55:38,"지난달 30일 서울 송파구 올림픽공원 테니스경기장 회의실에서 2023년도 제4차 대한테니스협회 이사회가 열리고 있다. 사진 대한테니스협회           배임 의혹을 받던 정희균 대한테니스협회 회장이 사임했다.      대한테니스협회는 정 회장이 6일 오후 서울 송파구 올림픽공원 테니스경기장 회의실에서 진행된 테니스협회 2023년도 제5차 이사회에서 사임서를 제출했다고 밝혔다. 정 회장은 ""협회가 풍전등화의 상황""이라면서 ""협회가 정상화되기 위해서는 내가 사임을 하는 것이 가장 첫 번째 수순이라고 판단해 결단을 내렸다""고 밝혔다. 정 회장의 임기는 2025년까지였다.       이로써 부회장 중 연장자순으로 회장 직무를 대행한다는 정관에 따라 예종석 부회장이 회장 직무대행을 맡게 됐다. 예 부회장은 ""문제를 해결하기 위해 최선의 노력을 다하겠다. 내일부터 출근해 상황을 파악하고 해결책을 찾아본 뒤 이른 시일 안에 다음 이사회를 소집하겠다""고 말했다. 궐위된 회장의 잔여임기가 1년 이상인 경우 60일 이내에 새 회장을 선출해야 한다는 규정에 따라 테니스협회는 차기 회장 선거를 준비할 예정이다.       테니스협회는 협회 명의로 된 모든 통장이 압류돼 행정이 사실상 마비된 상태다. 육군사관학교 테니스장 리모델링 사업과 관련해 주원홍 전 회장의 동생이 운영하는 미디어윌에 진 수십억 원의 빚을 갚지 못하면서다. 여기에 정 회장이 취임하면서 만든 한국주니어테니스육성후원회를 통해 협회 이름으로 맺은 여러 계약의 후원금과 국제 대회 광고 수익 일부를 받아 개인 돈처럼 사용했다는 배임 행위 의혹이 나왔다.       논란이 커지자 지난달 30일 열린 이사회 직후 정 회장은 직원 급여 지급, 자신의 배임 의혹에 대한 스포츠윤리센터 조사 등 문제가 해결되면 사임하겠다고 밝혔다."
056,0011561035,‘D-37 전국체전’ 목포 주 경기장 완공…“성공 개최 염원”,"[KBS 광주] [앵커] 전남에서 15년 만에 열리는 전국체전이 30여 일 남은 가운데, 주 경기장으로 쓰일 목포종합경기장이 완공됐습니다. 체전의 성공을 기원하는 도민 결의대회도 열려 분위기가 무르익고 있습니다. 김정대 기자입니다. [리포트] 목포시를 상징하는 새인 학이 날개를 펼친 모습을 형상화한 지붕. 천연 잔디와 9...",https://imgnews.pstatic.net/image/thumb154/056/2023/09/06/11561035.jpg,2023-09-06T21:53:20,"[KBS 광주] [앵커] 전남에서  15년 만에 열리는 전국체전이  30여 일 남은 가운데, 주 경기장으로 쓰일  목포종합경기장이 완공됐습니다. 체전의 성공을 기원하는  도민 결의대회도 열려  분위기가 무르익고 있습니다. 김정대 기자입니다. [리포트] 목포시를 상징하는 새인  학이 날개를 펼친 모습을  형상화한 지붕. 천연 잔디와  9개 레인이 깔린 육상 트랙을 갖춘 목포 종합경기장입니다. 오는 10월 열리는  전국체전의 주 경기장이 될건데, 착공 3년 8개월 만에 웅장한 모습을 드러냈습니다. [박홍률/목포시장 : ""우리 모두의 꿈과 열정, 그리고 희망이 모여 만들어진 이곳에서 우리는 땀과 열정으로 스포츠를 통한 감동을 나눌 것입니다.""] 지상 3층에  연면적 2만 6천여㎡ 규모로 만 6천 468명의  관람객을 수용할 수 있는  공인 1종 육상 경기장으로 조성했습니다. 체전의 시작과 끝을 알릴  개·폐회식과  '체전의 꽃'인 육상 종목이  이곳에서 펼쳐질 예정입니다. 2008년 여수 개최 이후  15년 만에 전남에서 열리는  전국체전인 만큼 도민들의 기대와 열망도 큰 상황. 한편에서는  이번 전국체전의 성공을 기원하는  범도민 결의대회가 열렸습니다. [""(전국체전) 성공 개최 열기가 지역사회와 도민들에게 널리 확산되도록 적극 앞장선다.""] 전남 전역에서  왕성한 활동을 이어가는  31개 시민 사회단체가 모여  적극적인 홍보와  봉사에 동참할 것을 다짐했습니다. [주상윤/전남도 사회단체연합회장 : ""각 지역에서 외부에서 오신 선수단과 관광객들이 다 같이 편하게 (머물다) 갈 수 있도록 31개 회원 단체에서 적극적으로 참여해서 봉사하는 (역할을 하겠습니다).""] 어느덧 한 달여 앞으로  다가온 전국체전. 전남이 개최지로 선정되고 지난 5년 동안  만반의 준비를 해온 만큼  체전 역사에 길이 남을 대회가 될 거란 기대가 높아지고 있습니다. KBS 뉴스 김정대입니다. 촬영기자:이우재"
003,0012074439,"장우진·전지희 혼합복식, 평창아시아탁구선수권대회 8강에서 덜미",[서울=뉴시스] 김금보 기자 = 한국 탁구 대표팀 장우진과 전지희가 6일 오후 강원도 평창돔에서 '2023 ITTF-ATTU 제26회 평창아시아탁구선수권대회' 혼합복식 대만과의 8강 경기를 치르고 있다. (사진=2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.09.06. photo@newsis.com *재판매...,https://imgnews.pstatic.net/image/thumb154/003/2023/09/06/12074439.jpg,2023-09-06T21:47:38,[서울=뉴시스] 김금보 기자 = 한국 탁구 대표팀 장우진과 전지희가 6일 오후 강원도 평창돔에서 '2023 ITTF-ATTU 제26회 평창아시아탁구선수권대회' 혼합복식 대만과의 8강 경기를 치르고 있다. (사진=2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.09.06. photo@newsis.com *재판매 및 DB 금지[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.
003,0012074438,"임종훈-신유빈, 혼합복식 4강 진출",[서울=뉴시스] 김금보 기자 = 한국 탁구 대표팀 임종훈과 신유빈이 6일 오후 강원도 평창돔에서 '2023 ITTF-ATTU 제26회 평창아시아탁구선수권대회' 혼합복식 태국과의 8강 경기를 치르고 있다. 한국은 태국을 매치 스코어 3-0(11-9 11-6 11-5)으로 꺾고 준결승에 올랐다. (사진=2023 평창아시아탁구...,https://imgnews.pstatic.net/image/thumb154/003/2023/09/06/12074438.jpg,2023-09-06T21:47:36,[서울=뉴시스] 김금보 기자 = 한국 탁구 대표팀 임종훈과 신유빈이 6일 오후 강원도 평창돔에서 '2023 ITTF-ATTU 제26회 평창아시아탁구선수권대회' 혼합복식 태국과의 8강 경기를 치르고 있다. 한국은 태국을 매치 스코어 3-0(11-9 11-6 11-5)으로 꺾고 준결승에 올랐다. (사진=2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.09.06. photo@newsis.com *재판매 및 DB 금지[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.
003,0012074437,"장우진·전지희 혼합복식, 평창아시아탁구선수권대회 8강에서 덜미",[서울=뉴시스] 김금보 기자 = 한국 탁구 대표팀 장우진과 전지희가 6일 오후 강원도 평창돔에서 '2023 ITTF-ATTU 제26회 평창아시아탁구선수권대회' 혼합복식 대만과의 8강 경기를 치르고 있다. (사진=2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.09.06. photo@newsis.com *재판매...,https://imgnews.pstatic.net/image/thumb154/003/2023/09/06/12074437.jpg,2023-09-06T21:47:34,[서울=뉴시스] 김금보 기자 = 한국 탁구 대표팀 장우진과 전지희가 6일 오후 강원도 평창돔에서 '2023 ITTF-ATTU 제26회 평창아시아탁구선수권대회' 혼합복식 대만과의 8강 경기를 치르고 있다. (사진=2023 평창아시아탁구선수권대회 조직위원회 제공) 2023.09.06. photo@newsis.com *재판매 및 DB 금지[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.
